id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
33160,Endeavor,2009,445,7.02157,7.37585,9578,0,,,,,,295,,
31594,"In the Year of the Dragon",2007,446,7.0198,7.29822,12215,0,,,,,,306,,
194594,"Dice Forge",2017,447,7.01948,7.22511,22525,0,,,,118,,,,
92415,Skull,2011,448,7.01917,7.18734,24757,0,,,,,31,,,
21348,"Ticket to Ride: Märklin",2006,449,7.01899,7.41044,9236,0,,,,97,,313,,
236191,"London (Second Edition)",2017,450,7.01769,7.49713,7181,0,,,,,,285,,
265736,"Tiny Towns",2019,451,7.01706,7.21808,20009,0,,,,115,,,,
171,Chess,1475,452,7.01628,7.2156,37368,0,44,,,,,,,
315767,"Cartographers Heroes",2021,453,7.01521,7.75067,4703,0,,,,76,,277,,
357563,Akropolis,2022,454,7.01426,7.48436,7744,0,,,,93,,,,
177478,IKI,2015,455,7.01261,7.63335,5638,0,,,,,,274,,
343905,Boonlake,2021,456,7.01257,7.65212,5249,0,,,,,,261,,
256226,"Azul: Stained Glass of Sintra",2018,457,7.01257,7.30259,13805,0,,,,108,,,,
322708,"Descent: Legends of the Dark",2021,458,7.0124,7.93696,4987,0,,,,,,,65,
298069,Cubitos,2021,459,7.01228,7.40417,9186,0,,,,99,,,,
144592,"Bruxelles 1893",2013,460,7.01187,7.60408,5627,0,,,,,,266,,
182134,"Evolution: Climate",2016,461,7.01167,7.47729,8142,0,,,,,,318,,
166669,"San Juan (Second Edition)",2014,462,7.01081,7.44979,7510,0,,,,,,298,,
293141,"King of Tokyo: Dark Edition",2020,463,7.0107,7.67842,5522,0,,,,88,,,,
186751,"Mythic Battles: Pantheon",2017,464,7.00984,8.31887,3325,0,,,,,,268,,
17392,"Here I Stand",2006,465,7.00855,7.8812,3934,0,,,,,,,,17
198773,"Codenames: Pictures",2016,466,7.00799,7.18298,23241,0,,,,,30,,,
128671,"Spartacus: A Game of Blood and Treachery",2012,467,7.00681,7.46587,9061,0,,,,,,,119,
71,Civilization,1980,468,7.00472,7.49319,7563,0,,,,,,319,,
138161,"Firefly: The Game",2013,469,7.00342,7.38696,12195,0,,,,,,,126,
34219,Biblios,2007,470,7.00303,7.19995,17858,0,,,,117,,342,,
262543,Wavelength,2019,471,7.00038,7.26012,14406,0,,,,,21,,,
170771,"Sword & Sorcery",2017,472,7.00008,7.88684,5100,0,,,,,,,70,
303057,"Pan Am",2020,473,6.99929,7.53876,6574,0,,,,,,310,,
229220,"Santa Maria",2017,474,6.99557,7.47138,7094,0,,,,,,300,,
204305,"Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures",2016,475,6.99389,7.57895,6129,0,,,,,,,96,
54625,"Space Hulk (Third Edition)",2009,476,6.99316,7.53002,7153,0,,,,,,,94,
151347,"Millennium Blades",2016,477,6.99259,7.66688,5213,0,,,,,,287,82,
351040,"Ready Set Bet",2022,478,6.99144,7.56268,5844,0,,,,,13,,,
